[Peptides-func] task=multi_label level=graph metric=macro_ap (higher_is_better=True)
  Loading cached distance masks from ./data/Peptides-func/dist_masks/train.pkl
  Loading cached distance masks from ./data/Peptides-func/dist_masks/val.pkl
  Loading cached distance masks from ./data/Peptides-func/dist_masks/test.pkl
Head -> hop set assignment:
  head 0: [0, 1]
epoch 098 | 112.1s | train loss 0.0852 AP 0.8940 | val loss 0.2247 AP 0.7103 | test loss 0.2347 AP 0.6968 | best val 0.7125 (epoch 87, test 0.7005423543632575)
epoch 099 | 110.4s | train loss 0.0839 AP 0.8910 | val loss 0.2260 AP 0.7103 | test loss 0.2381 AP 0.6970 | best val 0.7125 (epoch 87, test 0.7005423543632575)
epoch 100 | 112.5s | train loss 0.0820 AP 0.8951 | val loss 0.2268 AP 0.7097 | test loss 0.2366 AP 0.6911 | best val 0.7125 (epoch 87, test 0.7005423543632575)
epoch 101 | 108.5s | train loss 0.0811 AP 0.8964 | val loss 0.2314 AP 0.7160 | test loss 0.2422 AP 0.6967 | best val 0.7160 (epoch 101, test 0.6966752195691679)
epoch 102 | 113.6s | train loss 0.0807 AP 0.9012 | val loss 0.2490 AP 0.7095 | test loss 0.2556 AP 0.6951 | best val 0.7160 (epoch 101, test 0.6966752195691679)
epoch 103 | 112.0s | train loss 0.0821 AP 0.8933 | val loss 0.2253 AP 0.7135 | test loss 0.2353 AP 0.6871 | best val 0.7160 (epoch 101, test 0.6966752195691679)
epoch 104 | 104.3s | train loss 0.0798 AP 0.9029 | val loss 0.2269 AP 0.7071 | test loss 0.2322 AP 0.6981 | best val 0.7160 (epoch 101, test 0.6966752195691679)
epoch 105 |  92.5s | train loss 0.0776 AP 0.9019 | val loss 0.2342 AP 0.7181 | test loss 0.2495 AP 0.7036 | best val 0.7181 (epoch 105, test 0.7036078631958014)
epoch 106 |  90.2s | train loss 0.0776 AP 0.9045 | val loss 0.2489 AP 0.7136 | test loss 0.2570 AP 0.7021 | best val 0.7181 (epoch 105, test 0.7036078631958014)
epoch 107 |  89.1s | train loss 0.0769 AP 0.9054 | val loss 0.2289 AP 0.7134 | test loss 0.2384 AP 0.6985 | best val 0.7181 (epoch 105, test 0.7036078631958014)
epoch 108 |  88.6s | train loss 0.0759 AP 0.9055 | val loss 0.2362 AP 0.7120 | test loss 0.2491 AP 0.6921 | best val 0.7181 (epoch 105, test 0.7036078631958014)
epoch 109 |  89.9s | train loss 0.0753 AP 0.9077 | val loss 0.2324 AP 0.7113 | test loss 0.2403 AP 0.6943 | best val 0.7181 (epoch 105, test 0.7036078631958014)
epoch 110 |  91.7s | train loss 0.0731 AP 0.9109 | val loss 0.2419 AP 0.7148 | test loss 0.2526 AP 0.6981 | best val 0.7181 (epoch 105, test 0.7036078631958014)
epoch 111 |  90.2s | train loss 0.0727 AP 0.9116 | val loss 0.2350 AP 0.7180 | test loss 0.2465 AP 0.7086 | best val 0.7181 (epoch 105, test 0.7036078631958014)
epoch 112 |  97.3s | train loss 0.0723 AP 0.9138 | val loss 0.2498 AP 0.7106 | test loss 0.2581 AP 0.6981 | best val 0.7181 (epoch 105, test 0.7036078631958014)
epoch 113 |  94.0s | train loss 0.0698 AP 0.9190 | val loss 0.2530 AP 0.7158 | test loss 0.2642 AP 0.7050 | best val 0.7181 (epoch 105, test 0.7036078631958014)
epoch 114 |  88.3s | train loss 0.0709 AP 0.9158 | val loss 0.2364 AP 0.7156 | test loss 0.2490 AP 0.6983 | best val 0.7181 (epoch 105, test 0.7036078631958014)
epoch 115 | 110.2s | train loss 0.0692 AP 0.9209 | val loss 0.2520 AP 0.7060 | test loss 0.2574 AP 0.6925 | best val 0.7181 (epoch 105, test 0.7036078631958014)
epoch 116 | 118.4s | train loss 0.0690 AP 0.9216 | val loss 0.2507 AP 0.7155 | test loss 0.2622 AP 0.7065 | best val 0.7181 (epoch 105, test 0.7036078631958014)
epoch 117 | 117.5s | train loss 0.0675 AP 0.9231 | val loss 0.2468 AP 0.7186 | test loss 0.2539 AP 0.7078 | best val 0.7186 (epoch 117, test 0.7078019009874461)
epoch 118 | 114.2s | train loss 0.0672 AP 0.9233 | val loss 0.2380 AP 0.7212 | test loss 0.2513 AP 0.7093 | best val 0.7212 (epoch 118, test 0.7093473633271071)
epoch 119 | 113.4s | train loss 0.0669 AP 0.9246 | val loss 0.2570 AP 0.7102 | test loss 0.2634 AP 0.6985 | best val 0.7212 (epoch 118, test 0.7093473633271071)
epoch 120 | 111.0s | train loss 0.0662 AP 0.9230 | val loss 0.2526 AP 0.7111 | test loss 0.2606 AP 0.7023 | best val 0.7212 (epoch 118, test 0.7093473633271071)
epoch 121 | 108.5s | train loss 0.0656 AP 0.9276 | val loss 0.2482 AP 0.7154 | test loss 0.2593 AP 0.7044 | best val 0.7212 (epoch 118, test 0.7093473633271071)
epoch 122 | 112.0s | train loss 0.0634 AP 0.9315 | val loss 0.2402 AP 0.7174 | test loss 0.2553 AP 0.7060 | best val 0.7212 (epoch 118, test 0.7093473633271071)
epoch 123 | 108.8s | train loss 0.0630 AP 0.9286 | val loss 0.2464 AP 0.7225 | test loss 0.2591 AP 0.7060 | best val 0.7225 (epoch 123, test 0.7060389990044366)
epoch 124 | 114.9s | train loss 0.0629 AP 0.9295 | val loss 0.2706 AP 0.7232 | test loss 0.2844 AP 0.7070 | best val 0.7232 (epoch 124, test 0.7070082995259437)
epoch 125 | 112.6s | train loss 0.0619 AP 0.9301 | val loss 0.2513 AP 0.7154 | test loss 0.2627 AP 0.7003 | best val 0.7232 (epoch 124, test 0.7070082995259437)
epoch 126 | 110.9s | train loss 0.0608 AP 0.9347 | val loss 0.2500 AP 0.7186 | test loss 0.2609 AP 0.7045 | best val 0.7232 (epoch 124, test 0.7070082995259437)
epoch 127 | 110.9s | train loss 0.0613 AP 0.9360 | val loss 0.2576 AP 0.7139 | test loss 0.2650 AP 0.7076 | best val 0.7232 (epoch 124, test 0.7070082995259437)
epoch 128 | 111.1s | train loss 0.0595 AP 0.9351 | val loss 0.2549 AP 0.7244 | test loss 0.2704 AP 0.7098 | best val 0.7244 (epoch 128, test 0.7098043010492386)
epoch 129 | 109.9s | train loss 0.0602 AP 0.9391 | val loss 0.2446 AP 0.7213 | test loss 0.2606 AP 0.7062 | best val 0.7244 (epoch 128, test 0.7098043010492386)
epoch 130 | 112.7s | train loss 0.0587 AP 0.9376 | val loss 0.2613 AP 0.7147 | test loss 0.2759 AP 0.7014 | best val 0.7244 (epoch 128, test 0.7098043010492386)
epoch 131 | 112.8s | train loss 0.0592 AP 0.9351 | val loss 0.2672 AP 0.7178 | test loss 0.2726 AP 0.7096 | best val 0.7244 (epoch 128, test 0.7098043010492386)
epoch 132 | 111.4s | train loss 0.0578 AP 0.9386 | val loss 0.2616 AP 0.7172 | test loss 0.2713 AP 0.7042 | best val 0.7244 (epoch 128, test 0.7098043010492386)
epoch 133 | 108.8s | train loss 0.0575 AP 0.9381 | val loss 0.2693 AP 0.7193 | test loss 0.2763 AP 0.7117 | best val 0.7244 (epoch 128, test 0.7098043010492386)
epoch 134 |  89.1s | train loss 0.0573 AP 0.9424 | val loss 0.2593 AP 0.7208 | test loss 0.2690 AP 0.7089 | best val 0.7244 (epoch 128, test 0.7098043010492386)
