{'dataset': 'Peptides-func', 'max_hops': 40, 'use_lap_pe': True, 'lap_pe_dim': 8, 'hidden_dim': 320, 'num_heads': 40, 'ffn_ratio': 4, 'num_layers': 1, 'dropout': 0.2, 'graph_pool': 'sum', 'hop_mode': 'single', 'hop_window': 0, 'num_global_heads': 1, 'lr': 0.001, 'lr_min': 1e-07, 'weight_decay': 0.0003, 'batch_size': 32, 'max_epochs': 200, 'patience': 40, 'reduce_lr_patience': 10, 'warmup_ratio': 0.05, 'grad_clip': 1.0, 'num_workers': 4, 'dist_mask_workers': 8, 'device': None, 'save_dir': 'checkpoints_hop_masked_func_best_lape', 'seed': 0, 'checkpoint': None}
Unknown args =  []
[Peptides-func] task=multi_label level=graph metric=macro_ap (higher_is_better=True)
  Loading cached distance masks from ./data/Peptides-func/dist_masks/train.pkl
  Loading cached distance masks from ./data/Peptides-func/dist_masks/val.pkl
  Loading cached distance masks from ./data/Peptides-func/dist_masks/test.pkl
Head -> hop set assignment:
  head 0: [0, 1]
epoch 102 | 128.2s | train loss 0.0469 AP 0.9589 | val loss 0.3291 AP 0.6931 | test loss 0.3343 AP 0.7072 | best val 0.7089 (epoch 78, test 0.6983092699650434)
epoch 103 | 129.9s | train loss 0.0448 AP 0.9587 | val loss 0.3201 AP 0.6959 | test loss 0.3393 AP 0.6916 | best val 0.7089 (epoch 78, test 0.6983092699650434)
epoch 104 | 129.1s | train loss 0.0440 AP 0.9634 | val loss 0.3495 AP 0.6953 | test loss 0.3622 AP 0.6950 | best val 0.7089 (epoch 78, test 0.6983092699650434)
epoch 105 | 119.8s | train loss 0.0438 AP 0.9599 | val loss 0.3624 AP 0.6900 | test loss 0.3835 AP 0.6921 | best val 0.7089 (epoch 78, test 0.6983092699650434)
epoch 106 | 139.4s | train loss 0.0442 AP 0.9614 | val loss 0.3441 AP 0.6958 | test loss 0.3642 AP 0.6887 | best val 0.7089 (epoch 78, test 0.6983092699650434)
epoch 107 | 141.7s | train loss 0.0419 AP 0.9646 | val loss 0.3735 AP 0.7056 | test loss 0.3906 AP 0.7027 | best val 0.7089 (epoch 78, test 0.6983092699650434)
epoch 108 | 145.4s | train loss 0.0416 AP 0.9665 | val loss 0.3506 AP 0.6869 | test loss 0.3560 AP 0.6969 | best val 0.7089 (epoch 78, test 0.6983092699650434)
epoch 109 | 139.0s | train loss 0.0408 AP 0.9657 | val loss 0.3693 AP 0.6888 | test loss 0.3678 AP 0.6945 | best val 0.7089 (epoch 78, test 0.6983092699650434)
epoch 110 | 138.4s | train loss 0.0408 AP 0.9671 | val loss 0.3653 AP 0.6936 | test loss 0.3801 AP 0.6961 | best val 0.7089 (epoch 78, test 0.6983092699650434)
epoch 111 | 135.1s | train loss 0.0390 AP 0.9695 | val loss 0.3673 AP 0.6903 | test loss 0.3793 AP 0.6941 | best val 0.7089 (epoch 78, test 0.6983092699650434)
epoch 112 | 137.4s | train loss 0.0388 AP 0.9700 | val loss 0.3831 AP 0.6891 | test loss 0.3909 AP 0.7021 | best val 0.7089 (epoch 78, test 0.6983092699650434)
epoch 113 | 137.4s | train loss 0.0382 AP 0.9678 | val loss 0.3539 AP 0.6950 | test loss 0.3577 AP 0.7047 | best val 0.7089 (epoch 78, test 0.6983092699650434)
epoch 114 | 139.8s | train loss 0.0393 AP 0.9671 | val loss 0.3921 AP 0.6822 | test loss 0.3990 AP 0.6882 | best val 0.7089 (epoch 78, test 0.6983092699650434)
epoch 115 | 139.2s | train loss 0.0367 AP 0.9722 | val loss 0.4144 AP 0.6786 | test loss 0.4253 AP 0.6929 | best val 0.7089 (epoch 78, test 0.6983092699650434)
