[Peptides-struct] task=regression level=graph metric=mae (higher_is_better=False)
  Loading cached distance masks from ./data/Peptides-struct/dist_masks/train.pkl
  Loading cached distance masks from ./data/Peptides-struct/dist_masks/val.pkl
  Loading cached distance masks from ./data/Peptides-struct/dist_masks/test.pkl
Head -> hop set assignment:
  head 0: [0, 1]
epoch 081 |  89.7s | train loss 0.2536 MAE 0.2536 | val loss 0.2611 MAE 0.2610 | test loss 0.2658 MAE 0.2657 | best val 0.2516 (epoch 76, test 0.2577779814817779)
epoch 082 |  89.4s | train loss 0.2530 MAE 0.2530 | val loss 0.2559 MAE 0.2558 | test loss 0.2573 MAE 0.2571 | best val 0.2516 (epoch 76, test 0.2577779814817779)
epoch 083 |  91.8s | train loss 0.2514 MAE 0.2514 | val loss 0.2565 MAE 0.2564 | test loss 0.2597 MAE 0.2596 | best val 0.2516 (epoch 76, test 0.2577779814817779)
epoch 084 |  90.6s | train loss 0.2524 MAE 0.2524 | val loss 0.2494 MAE 0.2492 | test loss 0.2532 MAE 0.2531 | best val 0.2492 (epoch 84, test 0.2531125762963076)
epoch 085 |  90.6s | train loss 0.2508 MAE 0.2508 | val loss 0.2485 MAE 0.2484 | test loss 0.2541 MAE 0.2539 | best val 0.2484 (epoch 85, test 0.253935977711484)
epoch 086 |  93.2s | train loss 0.2497 MAE 0.2497 | val loss 0.2631 MAE 0.2630 | test loss 0.2705 MAE 0.2703 | best val 0.2484 (epoch 85, test 0.253935977711484)
epoch 087 |  90.2s | train loss 0.2497 MAE 0.2498 | val loss 0.2502 MAE 0.2501 | test loss 0.2548 MAE 0.2547 | best val 0.2484 (epoch 85, test 0.253935977711484)
epoch 088 |  91.3s | train loss 0.2493 MAE 0.2494 | val loss 0.2464 MAE 0.2463 | test loss 0.2511 MAE 0.2510 | best val 0.2463 (epoch 88, test 0.2510097265382004)
epoch 089 |  90.4s | train loss 0.2493 MAE 0.2493 | val loss 0.2479 MAE 0.2478 | test loss 0.2512 MAE 0.2510 | best val 0.2463 (epoch 88, test 0.2510097265382004)
epoch 090 |  89.6s | train loss 0.2509 MAE 0.2508 | val loss 0.2614 MAE 0.2612 | test loss 0.2677 MAE 0.2675 | best val 0.2463 (epoch 88, test 0.2510097265382004)
epoch 091 |  90.2s | train loss 0.2506 MAE 0.2505 | val loss 0.2552 MAE 0.2552 | test loss 0.2622 MAE 0.2621 | best val 0.2463 (epoch 88, test 0.2510097265382004)
